"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  EAST ASIAN AREA STUDIES (298)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","255","LEC","001","2","16:00 - 17:15","","T","R","","","","0469 1641","49","13","0005104315","P / VIREN MURTHY"
"A1","255","DIS","301","2","09:55 - 10:45","","","W","","","","0469 2101","9","3","0006083191","P / HU HSU"
"A1","255","DIS","302","2","11:00 - 11:50","","","W","","","","0469 2121","15","2","0006083191","P / HU HSU"
"A1","255","DIS","303","2","13:20 - 14:10","","","W","","","","0469 2111","16","6","0006083191","P / HU HSU"
"A1","255","DIS","304","2","14:25 - 15:15","","","W","","","","0469 2221","7","2","0006083191","P / HU HSU"
"A1","255","DIS","333","2","-","","","","","","","","2","0","0005104315","P / VIREN MURTHY"
"A1","270","LEC","001","1","13:20 - 14:40","","","W","F","","","0482 0254","","6","0004616025","P / CHARLES KIM"
"A1","276","LEC","001","3","11:00 - 12:15","","T","R","","","","0545 4028","55","5","0004957941","P / PUI SHAN SHELLY CHAN"
"A1","276","DIS","301","3","09:55 - 10:45","","","W","","","","0469 2631","13","2","0006088263","P / JOSHUA TAN"
"A1","276","DIS","302","3","11:00 - 11:50","","","W","","","","0469 2211","16","1","0006088263","P / JOSHUA TAN"
"A1","276","DIS","303","3","13:20 - 14:10","","","W","","","","0469 2115","13","1","0006088263","P / JOSHUA TAN"
"A1","276","DIS","304","3","14:25 - 15:15","","","W","","","","0469 2231","10","1","0006088263","P / JOSHUA TAN"
"A1","276","DIS","333","3","-","","","","","","","","3","0","0004957941","P / PUI SHAN SHELLY CHAN"
"A1","301","LEC","001","1","08:00 - 09:15","","T","R","","","","0056 0224","13","3","0004725204","P / EUN SIL OH"
"A1","332","LEC","001","2","12:05 - 12:55","M","","W","F","","","0469 1217","45","9","0003996591","P / DAVID FIELDS"
