"","","","","","DEPARTMENT INSTRUCTIONAL REPORT-FINAL","","","","",""
"","","","","","","","","","RUN DATE:","3/4/2013"
"","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","RUN TIME:","5:45:00PM"
"","","","","","Office of the Registrar","","","","",""
"","SUBJECT: REAL ESTATE AND URBAN LAND ECONOMICS (239)","","","","","","","","",""
"TERM:","1134","","","","","","","","",""
"","","","","FACILITY_ID","COMB_ENRL","ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","",""
"A1
 990
IND","142","1","-","","","1","0000632329","TIMOTHY RIDDIOUGH","",""
"A1
 999
IND","097","1","-","","","1","0002600554","STEPHEN MALPEZZI","",""
"","","","","","","","","PAGE NUMBER:","2","OF
2"
