"","","","","","","DEPARTMENT INSTRUCTIONAL REPORT","","","","",""
"","","","","","","","","","RUN DATE:","","10/16/2017"
"","","","","","","University of Wisconsin-Madison","","","","",""
"","","","","","","","","","RUN TIME:","","6:08:00PM"
"","","","","","","Office of the Registrar","","","","",""
"","","SUBJECT: COMPUTER SCIENCES (266)","","","","","","","","",""
"","","TERM: 1182","","","","","","","","",""
"","","","","","","FACILITY_ID
COMB_ENRL
ENRL_TOT","EMPLID","INSTRUCTOR ROLE/NAME","","",""
"A1","999","IND","007","1","-","1","0000993195","MARK CRAVEN","","",""
"A1","999","IND","082","1","-","1","0002602060","BARTON MILLER","","",""
"","","","","","","","","PAGE NUMBER:","10","OF","10"
