"BOTANY","","","","","","","","","","","","","","",""
"A1","123","LEC","001","1","11:00 - 11:50","M","","W","","","0114 0184","139","98","0003088632","ANDREW BENT"
"A1","123","LAB","301","1","09:30 - 10:45","","T","","","","0114 0295","16","9","0003088632","ANDREW BENT"
"A1","123","LAB","302","1","13:00 - 14:15","","T","","","","0114 0295","16","13","0003088632","ANDREW BENT"
"A1","123","LAB","303","1","17:00 - 18:15","","T","","","","0114 0295","17","13","0003088632","ANDREW BENT"
"A1","123","LAB","304","1","13:20 - 14:35","","","W","","","0114 0295","16","12","0003088632","ANDREW BENT"
"A1","123","LAB","305","1","15:30 - 16:45","","","W","","","0114 0295","17","8","0003088632","ANDREW BENT"
"A1","123","LAB","306","1","13:00 - 14:15","","","","R","","0114 0295","17","12","0003088632","ANDREW BENT"
"A1","123","LAB","307","1","16:00 - 17:15","","","","R","","0114 0295","20","11","0003088632","ANDREW BENT"
"A1","123","LAB","308","1","11:00 - 12:15","","","","","F","0114 0295","20","20","0003088632","ANDREW BENT"
"A1","130","LEC","001","1","08:50 - 09:40","M","","W","","F","0054 0145","129","112","0004441790","KENNETH CAMERON"
"A1","130","LEC","001","1","08:50 - 09:40","M","","W","","F","0054 0145","129","112","0002600006","EDGAR SPALDING"
"A1","130","LEC","001","1","08:50 - 09:40","M","","W","","F","0054 0145","129","112","0000428668","DENISE RATTERMAN"
"A1","130","LAB","301","1","09:55 - 11:50","M","","W","","","0054 0122","15","14","0005915527","MICHAEL PEYTON"
"A1","130","LAB","301","1","09:55 - 11:50","M","","W","","","0054 0122","15","14","0000428668","DENISE RATTERMAN"
"A1","130","LAB","302","1","09:55 - 11:50","M","","W","","","0054 0118","18","16","0005078674","BRANDON CORDER"
"A1","130","LAB","302","1","09:55 - 11:50","M","","W","","","0054 0118","18","16","0000428668","DENISE RATTERMAN"
"A1","130","LAB","303","1","13:20 - 15:15","M","","W","","","0054 0122","10","7","0000428668","DENISE RATTERMAN"
"A1","130","LAB","303","1","13:20 - 15:15","M","","W","","","0054 0122","10","7","0005915527","MICHAEL PEYTON"
"A1","130","LAB","304","1","13:20 - 15:15","M","","W","","","0054 0118","12","8","0005331695","THOMAS THEIN"
"A1","130","LAB","304","1","13:20 - 15:15","M","","W","","","0054 0118","12","8","0000428668","DENISE RATTERMAN"
"A1","130","LAB","305","1","15:30 - 17:25","M","","W","","","0054 0122","8","7","0006191707","PATRICIA CHAN"
"A1","130","LAB","305","1","15:30 - 17:25","M","","W","","","0054 0122","8","7","0000428668","DENISE RATTERMAN"
"A1","130","LAB","306","1","15:30 - 17:25","M","","W","","","0054 0118","15","15","0005331695","THOMAS THEIN"
"A1","130","LAB","306","1","15:30 - 17:25","M","","W","","","0054 0118","15","15","0000428668","DENISE RATTERMAN"
"A1","130","LAB","307","1","17:40 - 19:35","M","","W","","","0054 0122","9","8","0000428668","DENISE RATTERMAN"
"A1","130","LAB","307","1","17:40 - 19:35","M","","W","","","0054 0122","9","8","0006191707","PATRICIA CHAN"
"A1","130","LAB","308","1","07:45 - 09:40","","T","","R","","0054 0122","16","13","0006212385","DILRINI VANROOYEN"
"A1","130","LAB","308","1","07:45 - 09:40","","T","","R","","0054 0122","16","13","0000428668","DENISE RATTERMAN"
"A1","130","LAB","309","1","09:55 - 11:50","","T","","R","","0054 0122","16","15","0000428668","DENISE RATTERMAN"
"A1","130","LAB","309","1","09:55 - 11:50","","T","","R","","0054 0122","16","15","0005078674","BRANDON CORDER"
"A1","130","LAB","310","1","13:20 - 15:15","","T","","R","","0054 0122","10","9","0006212385","DILRINI VANROOYEN"
"A1","130","LAB","310","1","13:20 - 15:15","","T","","R","","0054 0122","10","9","0000428668","DENISE RATTERMAN"
