"","ELECTRICAL AND COMPUTER ENGINEERING","","","","","","","","","","","","","",""
"A1","1","FLD","001","1","-","","","","","","","","33","0003677061","STEPHANIE KANN"
"A1","1","FLD","001","1","-","","","","","","","","33","0000761703","JOHN ARCHAMBAULT"
"A1","203","LEC","001","2","11:00 - 12:15","","T","","R","","0404 0410","","124","0002601961","YU HU"
"A1","203","LEC","001","3","11:00 - 12:15","","T","","R","","0404 0410A","","124","0006088498","HAU MAN CHU"
"A1","203","LEC","001","2","11:00 - 12:15","","T","","R","","0404 0410","","124","0006088498","HAU MAN CHU"
"A1","203","LEC","001","3","11:00 - 12:15","","T","","R","","0404 0410A","","124","0002601961","YU HU"
"A1","210","LAB","001","1","14:25 - 17:25","M","","","","","0408 1438","","24","0000566960","MARK ALLIE"
"A1","210","LAB","002","1","18:00 - 21:00","M","","","","","0408 1438","","24","0000566960","MARK ALLIE"
"A1","210","LAB","003","1","14:25 - 17:25","","T","","","","0408 1438","","24","0000566960","MARK ALLIE"
"A1","210","LAB","004","1","18:00 - 21:00","","T","","","","0408 1438","","24","0000566960","MARK ALLIE"
"A1","210","LAB","005","1","14:25 - 17:25","","","W","","","0408 1438","","23","0000566960","MARK ALLIE"
"A1","210","LAB","006","1","18:00 - 21:00","","","W","","","0408 1438","","21","0000566960","MARK ALLIE"
"A1","210","LAB","007","1","18:00 - 21:00","","","","R","","0408 1438","","20","0000566960","MARK ALLIE"
"A1","210","LAB","008","1","14:25 - 17:25","","","","R","","0408 1438","","12","0000566960","MARK ALLIE"
"A1","219","LEC","001","1","14:30 - 15:45","","T","","R","","0404 0311","","115","0002600562","JOHN BOOSKE"
"A1","220","LEC","001","1","08:50 - 09:40","M","","W","","F","0404 0311","","82","0000746738","DAVID ANDERSON"
"A1","230","LEC","001","2","13:20 - 14:10","M","T","","R","","0404 0410A","","116","0002601244","WILLIAM HITCHON"
"A1","230","LEC","001","2","13:20 - 14:10","M","T","","R","","0404 0410A","","116","0003571005","HONGRUI JIANG"
"A1","230","LEC","001","1","13:20 - 14:10","M","T","","R","","0404 0410","","116","0002601244","WILLIAM HITCHON"
"A1","230","LEC","001","1","13:20 - 14:10","M","T","","R","","0404 0410","","116","0003571005","HONGRUI JIANG"
"A1","230","DIS","301","1","13:20 - 14:10","","","W","","","0408 1610","","116","0002601244","WILLIAM HITCHON"
"A1","230","DIS","301","1","13:20 - 14:10","","","W","","","0408 1610","","116","0003571005","HONGRUI JIANG"
"A1","235","LEC","001","1","14:30 - 15:45","","T","","R","","0408 2535","48","34","0002601068","LUKE MAWST"
"A1","235","LEC","002","1","14:30 - 15:45","","T","","R","","0408 2309","20","18","0003480925","JEREMY KIRCH"
"A1","252","LEC","001","2","14:25 - 15:15","","","W","","F","0404 0410","125","125","0000710039","JOSEPH KRACHEY"
"A1","252","LEC","001","3","14:25 - 15:15","","","W","","F","0404 0410A","125","125","0000710039","JOSEPH KRACHEY"
"A1","252","LEC","001","1","14:25 - 15:15","M","","","","","0408 1610","125","125","0000710039","JOSEPH KRACHEY"
"A1","252","LEC","002","1","08:50 - 09:40","M","","W","","F","0470 0113","210","0","0006042522","ADIL IBRAHIM"
"A1","252","LEC","005","1","12:05 - 12:55","M","","W","","F","0470 0113","210","0","0006042522","ADIL IBRAHIM"
"A1","270","LAB","001","1","14:25 - 15:15","M","","W","","F","0408 3654","","53","0000566960","MARK ALLIE"
"A1","270","LAB","002","1","14:30 - 15:45","","T","","R","","0408 3654","","46","0000566960","MARK ALLIE"
"A1","271","LAB","001","1","14:25 - 15:15","M","","W","","F","0408 3634","","31","0000566960","MARK ALLIE"
