"SUBJECT:  FOREST AND WILDLIFE ECOLOGY (396)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","550","LEC","001","1","13:00 - 14:15","T","","R","","","","0060 1220","","82","0006490262","P / GEORGE MEINDL"
"A1","551","LAB","002","1","14:00 - 17:00","M","","","","","","0114 A120","","17","0006490262","P / GEORGE MEINDL"
"A1","561","LEC","002","1","14:30 - 15:45","M","","","","","","0114 A228","","35","0003356803","P / JONATHAN PAULI"
"A1","561","LAB","301","1","13:00 - 16:30","","W","","","","","0114 A120","","17","0003356803","P / JONATHAN PAULI"
"A1","561","LAB","302","1","13:00 - 16:30","","","R","","","","0114 A120","","18","0003356803","P / JONATHAN PAULI"
"A1","571","LEC","001","1","09:30 - 10:45","T","","R","","","","0482 0494","55","1","0004593557","P / MOUMITA KARMAKAR"
"A1","571","LEC","002","1","11:00 - 12:15","T","","R","","","","0451A0331","46","3","0003376532","P / CHELSEY GREEN"
"A1","571","DIS","311","1","15:30 - 16:20","T","","","","","","0453 0114","22","0","0006397968","P / XINYU LI"
"A1","571","DIS","312","1","16:35 - 17:25","T","","","","","","0482 0386","13","1","0006397968","P / XINYU LI"
"A1","571","DIS","313","1","09:55 - 10:45","","W","","","","","0470 0134","20","0","0006397968","P / XINYU LI"
"A1","571","DIS","321","1","07:45 - 08:35","","W","","","","","0482 0375","10","1","0005611098","P / RODDY TAING"
"A1","571","DIS","322","1","12:05 - 12:55","","W","","","","","0482 0474","17","0","0005611098","P / RODDY TAING"
"A1","571","DIS","323","1","13:20 - 14:10","","W","","","","","0482 0494","19","2","0005611098","P / RODDY TAING"
"A1","577","LEC","001","1","11:00 - 12:15","T","","R","","","","0114 0147","","23","0000427946","P / TIMOTHY VAN DEELEN"
"A1","577","LEC","001","1","11:00 - 12:15","T","","R","","","","0114 0147","","23","0000675251","P / KARIE CHERWIN"
"A1","590","LEC","001","1","11:00 - 12:15","","W","","","","","0114 A120","","6","0000840725","P / PHILIP TOWNSEND"
"A1","651","LEC","001","3","13:00 - 14:15","T","","R","","","","0054 0346","32","5","0000643044","P / CATHERINE WOODWARD"
"A1","651","LEC","001","3","13:00 - 14:15","T","","R","","","","0054 0346","32","5","0006454633","X / LENA BERRY"
"A1","660","LEC","001","1","11:00 - 12:15","T","","R","","","","0114 0104","18","16","0004958827","P / BENJAMIN ZUCKERBERG"
"A1","691","IND","002","1","-","","","","","","","","","1","0000840725","P / PHILIP TOWNSEND"
"A1","692","IND","001","1","-","","","","","","","","","1","0003356803","P / JONATHAN PAULI"
"A1","699","IND","021","1","-","","","","","","","","","1","0006252057","P / AMY TROWBRIDGE"
"A1","699","IND","025","1","-","","","","","","","","","1","0003031297","P / JIM BERKELMAN"
"A1","699","IND","026","1","-","","","","","","","","","2","0006484909","P / JESSICA HUA"
"A1","953","SEM","001","2","09:30 - 10:45","","","R","","","","0054 0158","17","7","0002600338","P / MONICA TURNER"
"A1","990","IND","001","1","-","","","","","","","","","5","0006317937","P / MIN CHEN"
"A1","990","IND","002","1","-","","","","","","","","","1","0000275007","P / NICK BALSTER"
"A1","990","IND","003","1","-","","","","","","","","","1","0000800668","P / PAUL STOY"
"A1","990","IND","004","1","-","","","","","","","","","1","0006228034","P / ZUZANA BURIVALOVA"
