"COLLEGE:  ALS","","","","","","","","","","","","","","","",""
"SUBJECT:  AGRONOMY (132)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M","T
W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","100","LEC","001","1","-","","","","","","","ONLINE","","49","0002600078","P / WILLIAM TRACY"
"A1","100","LEC","001","1","-","","","","","","","ONLINE","","49","0004491194","P / CALLI ANIBAS"
"A1","100","LAB","301","1","13:20 - 15:20","M","","","","","","ONLINE","","20","0004491194","P / CALLI ANIBAS"
"A1","100","LAB","302","1","15:30 - 17:30","M","","","","","","ONLINE","","17","0004491194","P / CALLI ANIBAS"
"A1","100","LAB","303","1","13:20 - 15:20","","T","","","","","ONLINE","","12","0004491194","P / CALLI ANIBAS"
"A1","103","LEC","002","5","14:30 - 15:20","","T","R","","","","ONLINE","206","57","0003572723","P / MICHAEL BELL"
"A1","103","LEC","002","5","14:30 - 15:20","","T","R","","","","ONLINE","206","57","0003636462","P / CLAUDIO GRATTON"
"A1","103","LEC","002","5","14:30 - 15:20","","T","R","","","","ONLINE","206","57","0003649814","P / RANDALL JACKSON"
"A1","103","DIS","311","5","13:20 - 14:10","","","","F","","","ONLINE","33","3","0006209358","P / MARGAUX CRIDER"
"A1","103","DIS","312","5","16:00 - 16:50","","","R","","","","ONLINE","33","8","0006079299","P / BENJAMIN IULIANO"
"A1","103","DIS","313","5","08:50 - 09:40","","","","F","","","ONLINE","36","9","0005709559","P / JULIA REYNOLDS"
"A1","103","DIS","314","5","10:15 - 11:05","","","","F","","","ONLINE","35","12","0005709559","P / JULIA REYNOLDS"
"A1","103","DIS","315","5","17:30 - 18:20","","","R","","","","ONLINE","35","12","0006079299","P / BENJAMIN IULIANO"
"A1","103","DIS","316","5","11:40 - 12:30","","","","F","","","ONLINE","34","13","0006209358","P / MARGAUX CRIDER"
"A1","203","LEC","001","3","-","","","","","","","ONLINE","616","61","0000478209","P / SHERRY TANUMIHARDJO"
"A1","203","LEC","001","3","-","","","","","","","ONLINE","616","61","0003235726","P / DEVIKA SURI"
"A1","370","LEC","001","1","09:30 - 10:45","","T","R","","","","ONLINE","127","64","0003649814","P / RANDALL JACKSON"
"A1","375","LEC","016","1","12:00 - 13:30","","W","","","","","ONLINE","3","2","0003955731","P / JEAN-MICHEL ANE"
"A1","375","LEC","037","1","09:30 - 10:45","","T","R","","","","ONLINE","29","1","0004680094","P / LEWIS GILBERT"
"A1","376","LEC","001","2","14:30 - 15:45","M","","","","","","ONLINE","25","4","0003968756","P / CLAUDIA CALDERON"
"A1","399","IND","005","1","-","","","","","","","","","3","0002600078","P / WILLIAM TRACY"
"A1","399","IND","009","1","-","","","","","","","","","1","0000356337","P / SHAWN CONLEY"
"A1","501","LEC","001","2","08:50 - 09:40","M","W","","F","","","ONLINE","27","9","0005279875","P / JULIE DAWSON"
"A1","501","LEC","001","2","08:50 - 09:40","M","W","","F","","","ONLINE","27","9","0001505727","P / NATALIA DE LEON GATTI"
"A1","532","LEC","001","3","09:30 - 10:45","","T","R","","","","ONLINE","13","6","0000553607","P / CHRISTOPHER KUCHARIK"
"A1","565","LEC","001","2","14:30 - 15:45","M","W","","","","","ONLINE","27","2","0003090528","P / ROBERT STREIFFER"
"A1","699","IND","010","1","-","","","","","","","","","1","0002600078","P / WILLIAM TRACY"
"A1","799","IND","004","1","-","","","","","","","","","1","0000553607","P / CHRISTOPHER KUCHARIK"
"A1","799","IND","006","1","-","","","","","","","","","1","0001505727","P / NATALIA DE LEON GATTI"
