"TERM:  1262","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  STATISTICS (932)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"A1","479","LEC","004","1","14:30 - 15:45","T","","R","","","","0407 1106","9","0","0006315818","P / JESSI KEHE"
"A1","525","LEC","001","4","09:30 - 10:45","T","","R","","","","0408 1610","74","2","0005451706","P / ALBERTO DEL PIA"
"A1","541","LEC","001","1","13:00 - 14:15","T","","R","","","","1480 1345","62","16","0000340544","P / C NEWTON"
"A1","541","LEC","002","1","-","","","","","","","ONLINE","47","11","0004273026","P / ZHENGZHENG TANG"
"A1","541","DIS","311","1","14:30 - 15:20","","","R","","","","1480 1345","28","5","0000340544","P / C NEWTON"
"A1","541","DIS","312","1","14:30 - 15:20","T","","","","","","1480 1345","34","11","0000340544","P / C NEWTON"
"A1","541","DIS","321","1","16:00 - 17:15","T","","","","","","ONLINE","47","11","0004273026","P / ZHENGZHENG TANG"
"A1","571","LEC","001","2","09:30 - 10:45","T","","R","","","","0215 B2550","41","36","0006493284","P / BRIAN POWERS"
"A1","571","LEC","002","2","11:00 - 12:15","T","","R","","","","0215 2516","46","44","0006493284","P / BRIAN POWERS"
"A1","571","DIS","311","2","07:45 - 08:35","","W","","","","","0215 5618","10","10","0005736515","P / ELAINE CHIU"
"A1","571","DIS","312","2","08:50 - 09:40","","W","","","","","0482 0487","19","15","0005736515","P / ELAINE CHIU"
"A1","571","DIS","313","2","09:55 - 10:45","","W","","","","","0482 0587","12","11","0005736515","P / ELAINE CHIU"
"A1","571","DIS","321","2","14:25 - 15:15","","W","","","","","0215 B2556","22","21","0005611098","P / RODDY TAING"
"A1","571","DIS","322","2","15:30 - 16:20","","W","","","","","0215 B2556","15","14","0005611098","P / RODDY TAING"
"A1","571","DIS","323","2","16:35 - 17:25","","W","","","","","0482 0582","9","9","0005611098","P / RODDY TAING"
"A1","575","LEC","001","1","16:00 - 17:15","T","","R","","","","0451B0140","22","19","0006586881","P / CHRISTOPHER GEOGA"
"A1","575","LEC","001","1","16:00 - 17:15","T","","R","","","","0451B0140","22","19","0006452326","X / HAORAN XIONG"
"A1","575","LEC","002","1","16:00 - 17:15","T","","R","","","","0451B0140","22","3","0006586881","P / CHRISTOPHER GEOGA"
"A1","575","LEC","002","1","16:00 - 17:15","T","","R","","","","0451B0140","22","3","0006452326","X / HAORAN XIONG"
"A1","601","LEC","001","1","14:30 - 15:45","T","","R","","","","0402 0168","","25","0002602108","P / WEI-YIN LOH"
"A1","601","DIS","311","1","08:00 - 09:15","","","","F","","","0215 5618","","10","0006239626","P / ZHIHAO ZHAO"
"A1","601","DIS","312","1","09:30 - 10:45","","","","F","","","0215 5618","","15","0006239626","P / ZHIHAO ZHAO"
"A1","605","LEC","001","1","13:00 - 14:15","T","","R","","","","0215 2522","","24","0000608997","P / JOHN GILLETT"
"A1","605","LEC","001","1","13:00 - 14:15","T","","R","","","","0215 2522","","24","0006376304","X / MING PEI"
"A1","609","LEC","001","1","11:00 - 12:15","M","W","","","","","0057 1333","14","3","0006243365","P / PANDUAN AN"
"A1","609","LEC","002","1","11:00 - 12:15","M","W","","","","","0057 1333","14","11","0006243365","P / PANDUAN AN"
"A1","609","DIS","311","1","11:00 - 12:15","","","","F","","","0215 5618","6","2","0006368761","P / XIAOYU LEI"
"A1","609","DIS","312","1","13:00 - 14:15","","","","F","","","0215 5618","8","1","0006368761","P / XIAOYU LEI"
"A1","609","DIS","321","1","11:00 - 12:15","","","","F","","","0215 5618","6","4","0006368761","P / XIAOYU LEI"
