"SUBJECT:  SOCIOLOGY (900)","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W
R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","ENRN","TOT","",""
"A1","120","LEC","001","1","16:00 - 17:15","T","R","","","","0056 0022","","94","0004357104","P / ALLISON DAMINGER"
"A1","120","DIS","301","1","11:00 - 11:50","T","","","","","0140 2175","","25","0005310319","P / NONA GRONERT"
"A1","120","DIS","302","1","12:05 - 12:55","T","","","","","0140 2175","","23","0005310319","P / NONA GRONERT"
"A1","120","DIS","303","1","13:20 - 14:10","T","","","","","0140 2175","","22","0005310319","P / NONA GRONERT"
"A1","120","DIS","304","1","14:25 - 15:15","T","","","","","0055 2120","","24","0005310319","P / NONA GRONERT"
"A1","125","LEC","003","1","11:00 - 12:15","T","R","","","","0451B0140","","60","0003643048","P / ROBERT FREELAND"
"A1","125","DIS","301","1","13:20 - 14:10","","R","","","","0046 6228","","19","0005351387","P / NATHANIEL VANDER VELDEN"
"A1","125","DIS","302","1","14:25 - 15:15","","R","","","","0046 6232","","22","0005351387","P / NATHANIEL VANDER VELDEN"
"A1","125","DIS","303","1","15:30 - 16:20","","R","","","","0046 6232","","5","0005351387","P / NATHANIEL VANDER VELDEN"
"A1","125","DIS","304","1","16:35 - 17:25","","R","","","","0046 6232","","9","0005351387","P / NATHANIEL VANDER VELDEN"
"A1","125","DIS","393","1","-","","","","","","","","5","0003643048","P / ROBERT FREELAND"
"A1","131","LEC","001","1","11:00 - 11:50","M","W","F","","","0087C0108","100","44","0004903477","P / WALKER KAHN"
"A1","131","LEC","002","1","16:00 - 17:15","M","W","","","","0070 0125","181","78","0006489626","P / TATIANA DA CRUZ"
"A1","131","DIS","301","1","09:55 - 10:45","T","","","","","0482 0223","26","16","0005636274","P / LUCAS WISCONS"
"A1","131","DIS","302","1","11:00 - 11:50","T","","","","","0482 0223","25","4","0005636274","P / LUCAS WISCONS"
"A1","131","DIS","303","1","12:05 - 12:55","T","","","","","0482 0140","22","13","0005636274","P / LUCAS WISCONS"
"A1","131","DIS","304","1","13:20 - 14:10","T","","","","","0482 0209","23","7","0005636274","P / LUCAS WISCONS"
"A1","131","DIS","321","1","13:20 - 14:10","","R","","","","0400 L155","22","13","0006095493","P / DANIEL CRAIG"
"A1","131","DIS","322","1","14:25 - 15:15","","R","","","","0400 L155","20","10","0006095493","P / DANIEL CRAIG"
"A1","131","DIS","323","1","15:30 - 16:20","","R","","","","0400 L155","22","10","0006095493","P / DANIEL CRAIG"
"A1","131","DIS","324","1","16:35 - 17:25","","R","","","","0400 L155","22","9","0006095493","P / DANIEL CRAIG"
"A1","131","DIS","325","1","08:50 - 09:40","","R","","","","0482 0227","22","5","0005789093","P / MCKAILAH STRANG"
"A1","131","DIS","326","1","09:55 - 10:45","","R","","","","0482 0227","23","9","0005789093","P / MCKAILAH STRANG"
"A1","131","DIS","327","1","11:00 - 11:50","","R","","","","0482 0227","25","10","0005789093","P / MCKAILAH STRANG"
"A1","131","DIS","328","1","12:05 - 12:55","","R","","","","0482 0140","22","9","0005789093","P / MCKAILAH STRANG"
"A1","131","DIS","391","1","-","","","","","","","4","4","0004903477","P / WALKER KAHN"
"A1","131","DIS","392","1","-","","","","","","","3","3","0006489626","P / TATIANA DA CRUZ"
"A1","134","LEC","001","1","14:30 - 15:45","T","R","","","","0057 1310","","191","0005187663","P / SAMINA HOSSAIN"
"A1","134","LEC","002","1","11:00 - 12:15","T","R","","","","0046 5208","","200","0003979083","P / JASON NOLEN"
