"TERM:  1234","","","","","","","","","","","","","","","",""
"COLLEGE:  L&S","","","","","","","","","","","","","","","",""
"SUBJECT:  STATISTICS (932)","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","COMB","ENRL","",""
"SESS","CAT","COMP","SECT","OFFER","Time","M
T","W","R","F","S","X","FACILITY","","","EMPLID","Instructor role / name"
"","","","","","","","","","","","","","ENRN","TOT","",""
"AEE","303","LEC","004","1","-","","","","","","","ONLINE","82","9","0005632570","P / BO YANG"
"FEE","304","LEC","001","1","09:30 - 10:45","T","","R","","","","0056 0115","19","11","0006367177","P / NURSULTAN AZHIMURATOV"
"FEE","304","LEC","001","1","09:30 - 10:45","T","","R","","","","0056 0115","19","11","0005632570","P / BO YANG"
"FEE","304","LEC","002","1","09:30 - 10:45","T","","R","","","","0056 0115","19","8","0006367177","P / NURSULTAN AZHIMURATOV"
"FEE","304","LEC","002","1","09:30 - 10:45","T","","R","","","","0056 0115","19","8","0005632570","P / BO YANG"
"FEE","304","LEC","003","1","-","","","","","","","ONLINE","49","42","0006367177","P / NURSULTAN AZHIMURATOV"
"FEE","304","LEC","003","1","-","","","","","","","ONLINE","49","42","0005632570","P / BO YANG"
"FEE","304","LEC","004","1","-","","","","","","","ONLINE","49","7","0005632570","P / BO YANG"
"FEE","304","LEC","004","1","-","","","","","","","ONLINE","49","7","0006367177","P / NURSULTAN AZHIMURATOV"
"KEE","305","LEC","001","1","09:30 - 10:45","T","","R","","","","0056 0115","18","8","0005632570","P / BO YANG"
"KEE","305","LEC","001","1","09:30 - 10:45","T","","R","","","","0056 0115","18","8","0006367177","P / NURSULTAN AZHIMURATOV"
"KEE","305","LEC","002","1","09:30 - 10:45","T","","R","","","","0056 0115","18","10","0006367177","P / NURSULTAN AZHIMURATOV"
"KEE","305","LEC","002","1","09:30 - 10:45","T","","R","","","","0056 0115","18","10","0005632570","P / BO YANG"
"KEE","305","LEC","003","1","-","","","","","","","ONLINE","35","28","0005632570","P / BO YANG"
"KEE","305","LEC","003","1","-","","","","","","","ONLINE","35","28","0006367177","P / NURSULTAN AZHIMURATOV"
"KEE","305","LEC","004","1","-","","","","","","","ONLINE","35","7","0005632570","P / BO YANG"
"KEE","305","LEC","004","1","-","","","","","","","ONLINE","35","7","0006367177","P / NURSULTAN AZHIMURATOV"
"A1","309","LEC","001","1","13:00 - 14:15","T","","R","","","","0482 0594","71","52","0006505678","P / NIMAL WICKREMASINGHE"
"A1","309","DIS","311","1","09:55 - 10:45","","W","","","","","0056 0222","24","15","0005611098","P / RODDY TAING"
"A1","309","DIS","312","1","11:00 - 11:50","","W","","","","","0154 0212","24","16","0005611098","P / RODDY TAING"
"A1","309","DIS","313","1","16:35 - 17:25","","W","","","","","0482 0395","23","21","0005611098","P / RODDY TAING"
"A1","310","LEC","001","1","16:00 - 17:15","M","W","","","","","0482 0594","66","55","0006505678","P / NIMAL WICKREMASINGHE"
"A1","310","DIS","311","1","13:20 - 14:10","T","","","","","","0453 0110","23","19","0006368974","P / QILIN LI"
"A1","310","DIS","312","1","08:50 - 09:40","","W","","","","","0056 0115","22","17","0006368974","P / QILIN LI"
"A1","310","DIS","313","1","07:45 - 08:35","","W","","","","","0482 0479","21","19","0006368974","P / QILIN LI"
"A1","311","LEC","001","1","11:00 - 12:15","T","","R","","","","0451A0331","","74","0006559187","P / DIANA POWERS"
"A1","311","LEC","001","1","11:00 - 12:15","T","","R","","","","0451A0331","","74","0006237349","P / JIALUO LI"
"A1","311","LEC","001","1","11:00 - 12:15","T","","R","","","","0451A0331","","74","0006456495","P / HUI CHEN"
"A1","311","LEC","002","1","13:00 - 14:15","T","","R","","","","0451A0331","","67","0006456495","P / HUI CHEN"
